Date,Season,home,visitor,hgoal,vgoal,result,points
8/16/2008,2008,Sunderland,Liverpool,0,1,A,3
8/23/2008,2008,Liverpool,Middlesbrough,2,1,H,3
8/31/2008,2008,Aston Villa,Liverpool,0,0,D,1
9/13/2008,2008,Liverpool,Manchester United,2,1,H,3
9/20/2008,2008,Liverpool,Stoke City,0,0,D,1
9/27/2008,2008,Everton,Liverpool,0,2,A,3
10/5/2008,2008,Manchester City,Liverpool,2,3,A,3
10/18/2008,2008,Liverpool,Wigan Athletic,3,2,H,3
10/26/2008,2008,Chelsea,Liverpool,0,1,A,3
10/29/2008,2008,Liverpool,Portsmouth,1,0,H,3
11/1/2008,2008,Tottenham Hotspur,Liverpool,2,1,H,0
11/8/2008,2008,Liverpool,West Bromwich Albion,3,0,H,3
11/15/2008,2008,Bolton Wanderers,Liverpool,0,2,A,3
11/22/2008,2008,Liverpool,Fulham,0,0,D,1
12/1/2008,2008,Liverpool,West Ham United,0,0,D,1
12/6/2008,2008,Blackburn Rovers,Liverpool,1,3,A,3
12/13/2008,2008,Liverpool,Hull City,2,2,D,1
12/21/2008,2008,Arsenal,Liverpool,1,1,D,1
12/26/2008,2008,Liverpool,Bolton Wanderers,3,0,H,3
12/28/2008,2008,Newcastle United,Liverpool,1,5,A,3
1/10/2009,2008,Stoke City,Liverpool,0,0,D,1
1/19/2009,2008,Liverpool,Everton,1,1,D,1
1/28/2009,2008,Wigan Athletic,Liverpool,1,1,D,1
2/1/2009,2008,Liverpool,Chelsea,2,0,H,3
2/7/2009,2008,Portsmouth,Liverpool,2,3,A,3
2/28/2009,2008,Middlesbrough,Liverpool,2,0,H,0
3/3/2009,2008,Liverpool,Sunderland,2,0,H,3
3/14/2009,2008,Manchester United,Liverpool,1,4,A,3
3/22/2009,2008,Liverpool,Aston Villa,5,0,H,3
4/4/2009,2008,Fulham,Liverpool,0,1,A,3
4/11/2009,2008,Liverpool,Blackburn Rovers,4,0,H,3
4/21/2009,2008,Liverpool,Arsenal,4,4,D,1
4/25/2009,2008,Hull City,Liverpool,1,3,A,3
5/3/2009,2008,Liverpool,Newcastle United,3,0,H,3
5/9/2009,2008,West Ham United,Liverpool,0,3,A,3
5/17/2009,2008,West Bromwich Albion,Liverpool,0,2,A,3
5/24/2009,2008,Liverpool,Tottenham_Hotspur,3,1,H,3
8/17/2013,2013,Liverpool,Stoke City,1,0,H,3
8/24/2013,2013,Aston Villa,Liverpool,0,1,A,3
9/1/2013,2013,Liverpool,Manchester United,1,0,H,3
9/16/2013,2013,Swansea City,Liverpool,2,2,D,1
9/21/2013,2013,Liverpool,Southampton,0,1,A,0
9/29/2013,2013,Sunderland,Liverpool,1,3,A,3
10/5/2013,2013,Liverpool,Crystal Palace,3,1,H,3
10/19/2013,2013,Newcastle United,Liverpool,2,2,D,1
10/26/2013,2013,Liverpool,West Bromwich Albion,4,1,H,3
11/2/2013,2013,Arsenal,Liverpool,2,0,H,0
11/9/2013,2013,Liverpool,Fulham,4,0,H,3
11/23/2013,2013,Everton,Liverpool,3,3,D,1
12/1/2013,2013,Hull City,Liverpool,3,1,H,0
12/4/2013,2013,Liverpool,Norwich City,5,1,H,3
12/7/2013,2013,Liverpool,West Ham United,4,1,H,3
12/15/2013,2013,Tottenham_Hotspur,Liverpool,0,5,A,3
12/21/2013,2013,Liverpool,Cardiff City,3,1,H,3
12/29/2013,2013,Chelsea,Liverpool,2,1,H,0
1/1/2014,2013,Liverpool,Hull City,2,0,H,3
1/12/2014,2013,Stoke City,Liverpool,3,5,A,3
1/18/2014,2013,Liverpool,Aston Villa,2,2,D,1
1/28/2014,2013,Liverpool,Everton,4,0,H,3
2/2/2014,2013,West Bromwich Albion,Liverpool,1,1,D,1
2/8/2014,2013,Liverpool,Arsenal,5,1,H,3
2/23/2014,2013,Liverpool,Swansea City,4,3,H,3
3/1/2014,2013,Southampton,Liverpool,0,3,A,3
3/16/2014,2013,Manchester United,Liverpool,0,3,A,3
3/22/2014,2013,Cardiff City,Liverpool,3,6,A,3
3/26/2014,2013,Liverpool,Sunderland,2,1,H,3
3/30/2014,2013,Liverpool,Tottenham_Hotspur,4,0,H,3
4/6/2014,2013,West Ham United,Liverpool,1,2,A,3
4/13/2014,2013,Liverpool,Manchester City,3,2,H,3
4/20/2014,2013,Norwich City,Liverpool,2,3,A,3
4/27/2014,2013,Liverpool,Chelsea,0,2,A,0
5/5/2014,2013,Crystal Palace,Liverpool,3,3,D,1
5/11/2014,2013,Liverpool,Newcastle United,2,1,H,3
8/12/2018,2018,Liverpool,West Ham,4,0,H,3
8/20/2018,2018,Crystal Palace,Liverpool,0,2,A,3
8/25/2018,2018,Liverpool,Brighton,1,0,H,3
9/1/2018,2018,Leicester City,Liverpool,1,2,A,3
9/15/2018,2018,Tottenham_Hotspur,Liverpool,1,2,A,3
9/22/2018,2018,Liverpool,Southampton,3,0,H,3
9/29/2018,2018,Chelsea,Liverpool,1,1,D,1
10/7/2018,2018,Liverpool,Manchester City,0,0,D,1
10/20/2018,2018,Huddersfield,Liverpool,0,1,A,3
10/27/2018,2018,Liverpool,Cardiff City,4,1,H,3
11/3/2018,2018,Arsenal,Liverpool,1,1,D,1
11/11/2018,2018,Liverpool,Fulham,2,0,H,3
11/24/2018,2018,Watford,Liverpool,0,3,A,3
12/5/2018,2018,Burnley FC,Liverpool,1,3,A,3
12/8/2018,2018,Bournemouth,Liverpool,0,4,A,3
12/16/2018,2018,Liverpool,Manchester United,3,1,H,3
12/21/2018,2018,Wolverhampton,Liverpool,0,2,A,3
12/26/2018,2018,Liverpool,Newcastle,4,0,H,3
12/29/2018,2018,Liverpool,Arsenal,5,1,H,3
